relative_compactness;surface_area;wall_area;roof_area;overall_height;orientation;glazing_area;glazing_distribution;heating_load;cooling_load
0,98;514,5;294,0;110,25;7,0;2;0,0;0;3,4297091945502207;2,602170981955937
0,98;514,5;294,0;110,25;7,0;3;0,0;0;3,4297091945502207;2,602170981955937
0,98;514,5;294,0;110,25;7,0;4;0,0;0;3,4297091945502207;2,602170981955937
0,98;514,5;294,0;110,25;7,0;5;0,0;0;3,4297091945502207;2,602170981955937
0,9;563,5;318,5;122,5;7,0;2;0,0;0;3,890637908335241;2,8011602885292928
0,9;563,5;318,5;122,5;7,0;3;0,0;0;3,937963361942007;2,7255482619124374
0,9;563,5;318,5;122,5;7,0;4;0,0;0;3,880564569728384;2,7194251231924693
0,9;563,5;318,5;122,5;7,0;5;0,0;0;3,798811010978932;2,832775721017071
0,86;588,0;294,0;147,0;7,0;2;0,0;0;3,7841552779927983;2,776610664799615
0,86;588,0;294,0;147,0;7,0;3;0,0;0;3,82058411546724;2,6233170575763256
0,86;588,0;294,0;147,0;7,0;4;0,0;0;3,771031897226513;2,6709163351210243
0,86;588,0;294,0;147,0;7,0;5;0,0;0;3,6842880600949193;2,791006107389219
0,82;612,5;318,5;147,0;7,0;2;0,0;0;3,5723941591412065;2,6793115023604437
0,82;612,5;318,5;147,0;7,0;3;0,0;0;3,6050565170140567;2,606522733365453
0,82;612,5;318,5;147,0;7,0;4;0,0;0;3,56321814340086;2,596435639897941
0,82;612,5;318,5;147,0;7,0;5;0,0;0;3,471758328803666;2,712959846798531
0,79;637,0;343,0;147,0;7,0;2;0,0;0;4,4085740001248315;2,9983430235319553
0,79;637,0;343,0;147,0;7,0;3;0,0;0;4,488816675267504;2,8706045170708023
0,79;637,0;343,0;147,0;7,0;4;0,0;0;4,473366331857204;2,8630873789066995
0,79;637,0;343,0;147,0;7,0;5;0,0;0;4,422171921115402;3,0281133404100915
0,76;661,5;416,5;122,5;7,0;2;0,0;0;4,1726867402922005;2,837197416338173
0,76;661,5;416,5;122,5;7,0;3;0,0;0;4,115748269393205;2,8346413129011254
0,76;661,5;416,5;122,5;7,0;4;0,0;0;4,1726867402922005;2,837197416338173
0,76;661,5;416,5;122,5;7,0;5;0,0;0;4,115748269393205;2,828087171124501
0,74;686,0;245,0;220,5;3,5;2;0,0;0;2,084423127350729;2,103161505206261
0,74;686,0;245,0;220,5;3,5;3;0,0;0;2,0800443180233743;2,1233723387673225
0,74;686,0;245,0;220,5;3,5;4;0,0;0;2,071249962339069;2,105984430299769
0,74;686,0;245,0;220,5;3,5;5;0,0;0;2,0778503352413593;2,1219972328698318
0,71;710,5;269,5;220,5;3,5;2;0,0;0;2,1486875808650407;2,1288456357089527
0,71;710,5;269,5;220,5;3,5;3;0,0;0;2,1549727930654465;2,158851160426224
